Market Name,Commodity,Modal Price (Rs./Quintal),Price Date
Patna,Rice,2604.0,15 Aug 2024
Patna,Rice,2566.0,16 Aug 2024
Patna,Rice,2325.0,17 Aug 2024
Patna,Rice,2589.0,18 Aug 2024
Patna,Rice,2422.0,19 Aug 2024
Patna,Rice,2279.0,20 Aug 2024
Patna,Rice,2443.0,21 Aug 2024
Patna,Rice,2575.0,22 Aug 2024
Patna,Rice,2664.0,23 Aug 2024
Patna,Rice,2472.0,24 Aug 2024
Patna,Rice,2392.0,25 Aug 2024
Patna,Rice,2494.0,26 Aug 2024
Patna,Rice,2574.0,27 Aug 2024
Patna,Rice,2539.0,28 Aug 2024
Patna,Rice,2526.0,29 Aug 2024
Patna,Rice,2375.0,30 Aug 2024
Patna,Rice,2488.0,31 Aug 2024
Patna,Rice,2478.0,01 Sep 2024
Patna,Rice,2384.0,02 Sep 2024
Patna,Rice,2438.0,03 Sep 2024
Patna,Rice,2512.0,04 Sep 2024
Patna,Rice,2371.0,05 Sep 2024
Patna,Rice,2598.0,06 Sep 2024
Patna,Rice,2596.0,07 Sep 2024
Patna,Rice,2686.0,08 Sep 2024
Patna,Rice,2557.0,09 Sep 2024
Patna,Rice,2422.0,10 Sep 2024
Patna,Rice,2492.0,11 Sep 2024
Patna,Rice,2535.0,12 Sep 2024
Patna,Rice,2526.0,13 Sep 2024
Patna,Rice,2458.0,14 Sep 2024
Patna,Rice,2427.0,15 Sep 2024
Patna,Rice,2605.0,16 Sep 2024
Patna,Rice,2478.0,17 Sep 2024
Patna,Rice,2570.0,18 Sep 2024
Patna,Rice,2344.0,19 Sep 2024
Patna,Rice,2352.0,20 Sep 2024
Patna,Rice,2329.0,21 Sep 2024
Patna,Rice,2505.0,22 Sep 2024
Patna,Rice,2389.0,23 Sep 2024
Patna,Rice,2442.0,24 Sep 2024
Patna,Rice,2497.0,25 Sep 2024
Patna,Rice,2545.0,26 Sep 2024
Patna,Rice,2414.0,27 Sep 2024
Patna,Rice,2343.0,28 Sep 2024
Patna,Rice,2541.0,29 Sep 2024
Patna,Rice,2378.0,30 Sep 2024
Patna,Rice,2325.0,01 Oct 2024
Patna,Rice,2478.0,02 Oct 2024
Patna,Rice,2652.0,03 Oct 2024
Patna,Rice,2565.0,04 Oct 2024
Patna,Rice,2457.0,05 Oct 2024
Patna,Rice,2667.0,06 Oct 2024
Patna,Rice,2458.0,07 Oct 2024
Patna,Rice,2568.0,08 Oct 2024
Patna,Rice,2557.0,09 Oct 2024
Patna,Rice,2581.0,10 Oct 2024
Patna,Rice,2489.0,11 Oct 2024
Patna,Rice,2383.0,12 Oct 2024
Patna,Rice,2502.0,13 Oct 2024
Patna,Rice,2480.0,14 Oct 2024
Patna,Rice,2345.0,15 Oct 2024
Patna,Rice,2573.0,16 Oct 2024
Patna,Rice,2382.0,17 Oct 2024
Patna,Rice,2462.0,18 Oct 2024
Patna,Rice,2562.0,19 Oct 2024
Patna,Rice,2422.0,20 Oct 2024
Patna,Rice,2550.0,21 Oct 2024
Patna,Rice,2625.0,22 Oct 2024
Patna,Rice,2523.0,23 Oct 2024
Patna,Rice,2463.0,24 Oct 2024
Patna,Rice,2337.0,25 Oct 2024
Patna,Rice,2447.0,26 Oct 2024
Patna,Rice,2476.0,27 Oct 2024
Patna,Rice,2578.0,28 Oct 2024
Patna,Rice,2510.0,29 Oct 2024
Patna,Rice,2533.0,30 Oct 2024
Patna,Rice,2588.0,31 Oct 2024
Patna,Rice,2113.0,01 Nov 2024
Patna,Rice,1834.0,02 Nov 2024
Patna,Rice,1954.0,03 Nov 2024
Patna,Rice,2066.0,04 Nov 2024
Patna,Rice,1892.0,05 Nov 2024
Patna,Rice,2063.0,06 Nov 2024
Patna,Rice,2096.0,07 Nov 2024
Patna,Rice,1897.0,08 Nov 2024
Patna,Rice,2187.0,09 Nov 2024
Patna,Rice,2169.0,10 Nov 2024
Patna,Rice,2038.0,11 Nov 2024
Patna,Rice,2114.0,12 Nov 2024
Patna,Rice,1944.0,13 Nov 2024
Patna,Rice,2059.0,14 Nov 2024
Patna,Rice,2079.0,15 Nov 2024
Patna,Rice,2173.0,16 Nov 2024
Patna,Rice,2018.0,17 Nov 2024
Patna,Rice,1997.0,18 Nov 2024
Patna,Rice,1946.0,19 Nov 2024
Patna,Rice,2040.0,20 Nov 2024
Patna,Rice,2069.0,21 Nov 2024
Patna,Rice,2174.0,22 Nov 2024
Patna,Rice,2007.0,23 Nov 2024
Patna,Rice,1982.0,24 Nov 2024
Patna,Rice,2020.0,25 Nov 2024
Patna,Rice,1994.0,26 Nov 2024
Patna,Rice,2017.0,27 Nov 2024
Patna,Rice,1954.0,28 Nov 2024
Patna,Rice,1810.0,29 Nov 2024
Patna,Rice,1864.0,30 Nov 2024
Patna,Rice,2089.0,01 Dec 2024
Patna,Rice,2109.0,02 Dec 2024
Patna,Rice,2001.0,03 Dec 2024
Patna,Rice,2140.0,04 Dec 2024
Patna,Rice,1847.0,05 Dec 2024
Patna,Rice,2042.0,06 Dec 2024
Patna,Rice,2177.0,07 Dec 2024
Patna,Rice,1918.0,08 Dec 2024
Patna,Rice,1984.0,09 Dec 2024
Patna,Rice,2016.0,10 Dec 2024
Patna,Rice,1937.0,11 Dec 2024
Patna,Rice,2082.0,12 Dec 2024
Patna,Rice,1960.0,13 Dec 2024
Patna,Rice,2070.0,14 Dec 2024
Patna,Rice,1933.0,15 Dec 2024
Patna,Rice,2040.0,16 Dec 2024
Patna,Rice,1881.0,17 Dec 2024
Patna,Rice,1836.0,18 Dec 2024
Patna,Rice,1909.0,19 Dec 2024
Patna,Rice,2077.0,20 Dec 2024
Patna,Rice,2048.0,21 Dec 2024
Patna,Rice,2056.0,22 Dec 2024
Patna,Rice,2128.0,23 Dec 2024
Patna,Rice,2052.0,24 Dec 2024
Patna,Rice,1837.0,25 Dec 2024
Patna,Rice,1827.0,26 Dec 2024
Patna,Rice,2119.0,27 Dec 2024
Patna,Rice,1965.0,28 Dec 2024
Patna,Rice,2077.0,29 Dec 2024
Patna,Rice,2151.0,30 Dec 2024
Patna,Rice,1985.0,31 Dec 2024
Patna,Rice,2618.0,01 Jan 2025
Patna,Rice,2338.0,02 Jan 2025
Patna,Rice,2292.0,03 Jan 2025
Patna,Rice,2621.0,04 Jan 2025
Patna,Rice,2635.0,05 Jan 2025
Patna,Rice,2366.0,06 Jan 2025
Patna,Rice,2346.0,07 Jan 2025
Patna,Rice,2500.0,08 Jan 2025
Patna,Rice,2311.0,09 Jan 2025
Patna,Rice,2451.0,10 Jan 2025
Patna,Rice,2453.0,11 Jan 2025
Patna,Rice,2548.0,12 Jan 2025
Patna,Rice,2120.0,13 Jan 2025
Patna,Rice,2581.0,14 Jan 2025
Patna,Rice,2413.0,15 Jan 2025
Patna,Rice,2615.0,16 Jan 2025
Patna,Rice,2402.0,17 Jan 2025
Patna,Rice,2478.0,18 Jan 2025
Patna,Rice,2557.0,19 Jan 2025
Patna,Rice,2427.0,20 Jan 2025
Patna,Rice,2499.0,21 Jan 2025
Patna,Rice,2454.0,22 Jan 2025
Patna,Rice,2578.0,23 Jan 2025
Patna,Rice,2436.0,24 Jan 2025
Patna,Rice,2525.0,25 Jan 2025
Patna,Rice,2519.0,26 Jan 2025
Patna,Rice,2293.0,27 Jan 2025
Patna,Rice,2444.0,28 Jan 2025
Patna,Rice,2652.0,29 Jan 2025
Patna,Rice,2572.0,30 Jan 2025
Patna,Rice,2525.0,31 Jan 2025
Patna,Rice,2662.0,01 Feb 2025
Patna,Rice,2470.0,02 Feb 2025
Patna,Rice,2553.0,03 Feb 2025
Patna,Rice,2348.0,04 Feb 2025
Patna,Rice,2426.0,05 Feb 2025
Patna,Rice,2534.0,06 Feb 2025
Patna,Rice,2436.0,07 Feb 2025
Patna,Rice,2442.0,08 Feb 2025
Patna,Rice,2568.0,09 Feb 2025
Patna,Rice,2605.0,10 Feb 2025
Patna,Rice,2489.0,11 Feb 2025
Patna,Rice,2530.0,12 Feb 2025
Patna,Rice,2345.0,13 Feb 2025
Patna,Rice,2597.0,14 Feb 2025
Patna,Rice,2696.0,15 Feb 2025
Patna,Rice,2586.0,16 Feb 2025
Patna,Rice,2567.0,17 Feb 2025
Patna,Rice,2365.0,18 Feb 2025
Patna,Rice,2349.0,19 Feb 2025
Patna,Rice,2589.0,20 Feb 2025
Patna,Rice,2232.0,21 Feb 2025
Patna,Rice,2385.0,22 Feb 2025
Patna,Rice,2503.0,23 Feb 2025
Patna,Rice,2510.0,24 Feb 2025
Patna,Rice,2320.0,25 Feb 2025
Patna,Rice,2394.0,26 Feb 2025
Patna,Rice,2329.0,27 Feb 2025
Patna,Rice,2433.0,28 Feb 2025
Patna,Rice,2530.0,01 Mar 2025
Patna,Rice,2424.0,02 Mar 2025
Patna,Rice,2428.0,03 Mar 2025
Patna,Rice,2565.0,04 Mar 2025
Patna,Rice,2492.0,05 Mar 2025
Patna,Rice,2473.0,06 Mar 2025
Patna,Rice,2415.0,07 Mar 2025
Patna,Rice,2608.0,08 Mar 2025
Patna,Rice,2400.0,09 Mar 2025
Patna,Rice,2444.0,10 Mar 2025
Patna,Rice,2521.0,11 Mar 2025
Patna,Rice,2499.0,12 Mar 2025
Patna,Rice,2548.0,13 Mar 2025
Patna,Rice,2460.0,14 Mar 2025
Patna,Rice,2440.0,15 Mar 2025
Patna,Rice,2515.0,16 Mar 2025
Patna,Rice,2627.0,17 Mar 2025
Patna,Rice,2435.0,18 Mar 2025
